,aclist,bclist
1145,海隆控股,null
1146,null,三亚新机场投资建设有限公司
1147,阿斯顿,null
1148,瑞幸咖啡,null
1149,雷诺,德梅奥
1150,中国电建,吸收合并电建地产
1151,皖通科技,null
1152,null,雪佛龙
1153,北汽福田,苏巴什
1154,锤子科技,锤子数码科技
1155,亿邦,华铁应急
1156,蛋壳公寓,null
1157,包头市,null
1158,三星,三星集团
1159,英特尔,null
1160,炬申物流,天山铝业
1161,null,百事食品
1162,null,百度
1163,null,哈药集团
1164,昆仑信,东方亿圣
1165,金螳螂,季建业
1166,软银,null
1167,京投发展,世龙实业
1168,苹果,null
1169,浦江中国,null
1170,许冠杰,null
1171,null,北京
1172,中兴通讯,null
1173,null,安居客
1174,谷歌,null
1175,切萨皮克,切萨皮克公司
1176,中兴新公司,中兴新合
1177,索尼,null
1178,戴姆勒,梅赛德斯
1179,哈药股份,null
1180,亿邦国际,比特大陆
1181,欧亚平,鸿信行
1182,獐子岛,北斗导航
1183,国美,京东
1184,贝莱德,null
1185,瑞幸咖啡,null
1186,null,乐视网
1187,泽生科技,null
1188,福汇,null
1189,恺英网络,骐飞
1190,瑞幸咖啡,null
1191,微软,null
1192,null,哥伦比亚广播公司
1193,null,智飞生物
1194,三星集团,三星电子
1195,獐子岛,null
1196,null,博奥
1197,国美,京东
1198,通威股份,null
1199,鹰君集团,汇丰
1200,null,太太
1201,电建地产,中国电建
1202,null,百事可乐
1203,null,恒泰期货
1204,吉林森工,null
1205,秦安股份,重庆秦安机电股份有限公司
1206,null,长安
1207,中海地产,中海地产
1208,蒙古能源,null
1209,null,健康元股份
1210,吉利,上汽
1211,菊乐食品,伊利
1212,拜腾汽车,null
1213,特斯拉,null
1214,中兴通讯,null
1215,晟宇物业,null
1216,哈药股份,健安喜公司
1217,金刻羽,null
1218,百信国际,null
1219,苹果,null
1220,环亚国际实业,环亚国际实业
1221,null,昆明锅炉有限责任公司
1222,瑞幸咖啡,null
1223,汉莎航空,null
1224,万霖,null
1225,荣华实业,null
1226,獐子岛,null
1227,中兴新公司,null
1228,苹果,null
1229,才宇健,null
1230,康佰馨,康佰馨
1231,巴基斯坦国际航空公司,null
1232,通用汽车,null
1233,null,微软
1234,果多美,null
1235,中国唐商,null
1236,null,广州通通圆益科技开发有限公司
1237,天皓公司,null
1238,拜腾,博郡汽车
1239,null,人保财险
1240,众泰汽车,铁牛集团
1241,特斯拉,空特斯拉
1242,万华化学(烟台)销售有限公司,烟台万华新材料科技有限公司
1243,null,巴基斯坦国际航空公司
1244,哈药,null
1245,三星,三星电子
1246,海正药业,恒瑞医药
1247,汉莎航空,汉莎航空公司
1248,国信香港,null
1249,富士康,null
1250,皖通科技,null
1251,永昌信,null
1252,亿邦国,嘉楠科技
1253,赛文技术,null
1254,滴滴,null
1255,null,恒大
1256,康佰馨,康佰馨大药房
1257,特斯拉,null
1258,德甲德乙,null
1259,ST中科,null
1260,晨鸣纸业,晨鸣纸业
1261,亚振家居,亚振家居
1262,ST健威泽,null
1263,null,谷歌
1264,null,辅仁
1265,明博教育,null
1266,贵州百灵,null
1267,国美,国美电器
1268,瑞幸咖啡,null
1269,null,鸿信行有限公司
1270,哈药,null
1271,卓胜微,天津
1272,枫叶教育,null
1273,null,合策科技(北京)有限公司
1274,爱特爱教育,青岛爱特爱教育科技有限公司
1275,国美,国美电器
1276,国美,国美电器
1277,著杰控股,欢瑞世纪
1278,华燕房盟,null
1279,世纪金花,世纪金花
1280,汤臣倍健,GNC
1281,null,盛运环保
1282,特斯拉,null
1283,ST德豪,null
1284,华厦置业,华厦置业
1285,舜大能源,null
1286,谷歌,null
1287,宝武系,中国宝武钢铁集团有限公司
1288,西王特钢,null
1289,美特斯邦威,美邦服饰公司
1290,众泰汽车,null
1291,国美,阿里
1292,索沃,null
1293,獐子岛,null
1294,苹果,谷歌
1295,亚洲资源,null
1296,獐子岛,null
1297,金针菇,诸焕诚
1298,null,苹果
1299,软银,阿里
1300,美邦服饰,null
1301,长城,博创城
1302,獐子岛,獐子岛人
1303,亚马逊,特斯拉
1304,海亮股份,海亮股份
1305,一汽,一汽轿车
1306,null,耐克
1307,日月峡大森林旅游集团有限公司,null
1308,瑞幸,瑞幸咖啡
1309,吉林省投资集团有限公司,吉林省投资集团有限公司
1310,GNC,null
1311,宜华健康,null
1312,国美,国美零售
1313,兰山环保局,null
1314,秦安股份,null
1315,追日电气,null
1316,爱尔眼科,老花眼
1317,微软,null
1318,果多美,null
1319,软银,null
1320,华威科,null
1321,首开股份,首开股份
1322,獐子岛,獐子岛
1323,null,鸿信行
1324,苹果,null
1325,魅族,null
1326,null,百安海滩
1327,和佳医疗,null
1328,江苏汇鸿国际集团,江苏汇鸿国际集团股份有限公司
1329,众泰汽车,null
1330,滴滴,null
1331,元明控股,null
1332,瑞幸咖啡,null
1333,null,得邦塑料
1334,阿里,null
1335,中国太保,null
1336,字节跳动,字节跳动
1337,德勤,null
1338,普思资本,虎扑
1339,北京现代,null
1340,华锐风电,null
1341,旅悦集团,null
1342,美特斯邦威,美邦服饰
1343,null,五矿国际信托有限公司
1344,猿辅导,新东方
1345,獐子岛,獐子岛科研
1346,奥林巴斯,尼康
1347,苹果,null
1348,创建集团,null
1349,百事食品,null
1350,null,合策科技(北京)有限公司
1351,众泰汽车,金浙勇
1352,华润置地,华润集团
1353,亚马逊,null
1354,福莱特玻璃,福莱特玻璃
1355,奥迪,大搜车
1356,卡联科技,苹果
1357,null,惠数通
1358,电信,深圳能
1359,爱彼迎,切斯基
1360,恺英网络,骐飞投资
1361,美邦服饰,美特斯邦威
1362,null,回力拖鞋
1363,null,摩尔多瓦
1364,包美涓,null
1365,东方金钰,中睿泰信
1366,领地集团,null
1367,银泰置业,京投发展股份有限公司
1368,华信地产,null
1369,国美,null
1370,null,梅拉斯
1371,戴尔,戴尔公司
1372,美特斯邦威,上海美特斯邦威服饰股份有限公司
1373,null,蔚来
1374,坛金矿业,null
1375,珠江啤酒,null
1376,哈药,哈药股份
1377,亚尔斯,null
1378,力帆股份,null
1379,滴滴,null
1380,众泰汽车,null
1381,null,华为
1382,宜华生活,华达利
1383,null,麒麟公司
1384,null,熊德超
1385,航宇科技,白山科技
1386,ST鹏起,null
1387,null,阿斯利康
1388,瑞幸咖啡,null
1389,山东信和,null
1390,北汽集团,北京汽车集团有限公司
1391,保丽信集团,null
1392,海利生物,null
1393,null,高子
1394,国美,阿里
1395,宝新能源,首善财富
1396,千水环境,null
1397,中化香港,中国金茂
1398,天士营销,null
1399,康得新,null
1400,null,切斯基
1401,华纳,null
1402,null,贝尔链
1403,福昕软件,海德曼
1404,null,拜腾汽车
1405,银隆新能源,株洲中车
1406,通捷水务,null
1407,红星美羚,null
1408,亿邦,null
1409,戈皮纳,null
1410,山东理工,null
1411,拜腾,null
1412,null,软银
1413,拜腾汽车,天眼查
1414,索尼,null
1415,三菱汽车,广汽三菱
1416,途牛,凯撒集团
1417,西商钢贸,中崇投资集团有限公司
1418,上海莱士,莱士中国
1419,广汽本田,中保研汽车技术研究院有限公司
1420,中国铜业,null
1421,null,新光集团有限公司
1422,null,北汽福田
1423,亚马逊,特斯拉
1424,欧亚平,鸿信行
1425,瑞幸咖啡,null
1426,同策房产,null
1427,奥林巴斯,索尼
1428,荣丰联合控股,null
1429,国美,国美电器
1430,高斯,null
1431,null,中国华能集团有限公司
1432,通用汽车,null
1433,null,华为公司
1434,国美,京东
1435,null,斯坦航空
1436,獐子岛,null
1437,拜腾,拜腾汽车
1438,特斯拉,null
1439,极米科技,null
1440,金信诺,null
1441,国药集团,中国生物
1442,银泰置业,北京万科
1443,T辉丰,null
1444,京投发展,null
1445,广汽本田,null
1446,null,海固中联
1447,null,米拉波
1448,康佰,康佰馨公
1449,阿里,阿里巴巴
1450,null,陕西延长石油（集团）有限责任公司
1451,苹果,null
1452,四环生物,德源纺织
1453,澳碧洁,澳洁科技
1454,中光防雷,上海广信
1455,中兴通讯,中芯国际
1456,ST辅仁,null
1457,中兴新,中兴新公司
1458,鸿信行,健康元股份
1459,爱世纪集团,爱世纪集团
1460,舞钢公司,null
1461,鸿信行,健康元股份
1462,软银,null
1463,国美,国美系
1464,圣湘生物,null
1465,瑞幸咖啡,天眼查
1466,青岛优创企业管理咨询有限公司,null
1467,苹果,null
1468,华为,null
1469,美康生物,null
1470,众泰汽车,铁牛集团
1471,中金集团,中国国际金融股份有限公司
1472,蚂蚁金服,浙江蚂蚁小微金融服务集团股份有限公司
1473,天士营销,丹参滴丸
1474,苹果,英特尔
1475,威创股份,null
1476,特斯拉,丰田汽车
1477,中亚股份,中物聚能
1478,国美,null
1479,腾讯,爱奇艺
1480,卑诗民,null
1481,null,永升生活
1482,ST联络,null
1483,山东地炼,null
1484,众泰汽车,君马汽车
1485,特斯拉,亚马逊
1486,null,四川怡海房地产公司
1487,中港照,中港照相
1488,null,盛世物业
1489,哈药股份,null
1490,深圳三诺集团,null
1491,天安财产保险,天安财产保险股份有限公司
1492,美邦服饰,美特斯邦威
1493,榕树堂,小仙炖商务公司
1494,虎牙,null
1495,神州优车,天眼查
1496,琴海航空,null
1497,新浪支付,null
1498,四川信托,中铁八局
1499,null,西吉县
1500,国美,国美电器
1501,鲁南制药,兰山环保局
1502,英孚,英孚教育
1503,斯派力,null
1504,健友股份,健友股份
1505,特斯拉,null
1506,华为,华为公司
1507,大众,大众集团
1508,爱尔眼科,爱尔眼科
1509,海南荷采公司,海南荷
1510,null,克比亚
1511,英国Tulip公司,null
1512,海斯坦普,null
1513,皖通科技,null
1514,美特斯邦威,美邦服饰公司
1515,三菱重工,null
1516,null,国药集团
1517,null,美国泰森公司
1518,瑞幸咖啡,华利安
1519,皖通科技,皖通科技
1520,拜腾,null
1521,獐子岛,北斗卫星
1522,圣杯投,null
1523,百安,北京
1524,科兴,null
1525,哈药,通用
1526,null,中肽生化
1527,苹果,null
1528,null,斯宾塞
1529,拜腾,拜腾汽车
1530,金科股份,金科地产
1531,null,富贵险
1532,西安玺悦医疗美容服务有限公司,null
1533,雅居乐集团,景业
1534,哔哩哔哩,null
1535,null,唐山
1536,远景能源,明阳智能
1537,瑞幸咖啡,null
1538,中科建设,null
1539,众泰,众泰汽车
1540,泰禾集团,null
1541,北方矿业,null
1542,ST大洲,null
1543,中国石化,中国金山联合贸易有限公司
1544,天正公,三禾木业
1545,国美,国美通讯
1546,国民软件,null
1547,瑞幸咖啡,邵孝恒
1548,瑞幸咖啡,null
1549,苑东生物,null
1550,周旭辉,null
1551,亿邦,嘉楠科技
1552,null,南航
1553,天眼查,null
1554,瑞幸咖啡,null
1555,哈药,null
1556,微软,null
1557,金运激光,null
1558,苹果公司,null
1559,华夏信财,华夏信财互联网金融信息服务（上海）有限公司
1560,比亚迪,null
1561,瑞幸咖啡,小坊
1562,路通路桥,null
1563,null,新浪支付
1564,瑞幸咖啡,null
1565,步森实控,睿鸷
1566,龙冉股份,null
1567,null,苹果公司
1568,欣龙,嘉兴天堂
1569,沃尔,null
1570,可口可乐,可口可乐
1571,融众金融,安华理达
1572,江苏汇鸿国际集团股份有限公司,null
1573,园城黄金,null
1574,德联集团,null
1575,博郡汽车,null
1576,null,合策科技(北京)有限公司
1577,未名医药,北京科兴生物制品有限公司
1578,智飞生物,null
1579,哈药,null
1580,中邮速递,null
1581,拜腾汽车,null
1582,獐子岛,null
1583,巴基斯坦国际航空公司,null
1584,null,成方汇达
1585,人人乐,null
1586,瑞幸咖啡,苹果公司
1587,新安传媒,null
1588,獐子岛,null
1589,通葡股份,份有限公司
1590,三星,null
1591,临沂城资新鸥鹏房地产开发有限公司,山东新鸥鹏文旅产业发展集团有限公司
1592,国信香港,null
1593,支付宝（杭州）信息技术有限公司,null
1594,哈药股份,null
1595,银泰置业,天眼查
1596,null,苹果
1597,长城汽车,null
1598,川纤集团,null
1599,仁和药业,null
1600,小仙炖,榕树堂
1601,汉莎航空,汉莎航空集团
1602,爱奇艺,阿里
1603,乐华娱乐,null
1604,劳斯莱斯,大众
1605,深圳新世界,新世界集团
1606,江苏赛麟汽车科技有限公司,null
1607,众泰汽车,金浙勇
1608,特斯拉,null
1609,荣丰联合控股,荣丰联合
1610,中盈集团,null
1611,乐华娱,null
1612,null,迪士尼
1613,国美,苏宁
1614,万科,北京京投银泰置业
1615,通尼斯,通尼斯集团
1616,华谊嘉信,null
1617,众品,河南众品
1618,null,拜腾
1619,null,人保财险
1620,null,江苏赛麟汽车科技有限公司
1621,null,摩根大通
1622,有色集团,临沂商城电子商务科技有限公司
1623,雨墨科技,狮之吼
1624,null,童帝
1625,中国人保,中国人保
1626,null,京东
1627,森太,森太电器
1628,莱尔科技,null
1629,新世界,null
1630,null,獐子岛
1631,博郡汽车,一汽夏利
1632,国美,null
1633,云南中药,null
1634,德祥地产,null
1635,奥林巴斯,null
1636,兴华,兴华港口
1637,威达宇电,null
1638,未名医药,科兴生物
1639,三菱汽车,广汽三菱
1640,普拉托,null
1641,瑞幸咖啡,null
1642,信立泰,null
1643,null,人保财险
1644,小米,null
1645,特斯拉,null
1646,品渥,上海魁春实业有限公司
1647,滴滴,null
1648,null,百事食品
1649,国美,阿里
1650,富力,null
1651,哈药股份,null
1652,国美,国美电器
1653,獐子岛,null
1654,格力电器,null
1655,天眼查,天眼查产
1656,獐子岛,北斗导航
1657,北京锦圣,阿里
1658,ST远程,钱眼
1659,null,三星集团
1660,民生科技,江西天戌药业有限公司
1661,北斗星通,中国卫星
1662,软银,null
1663,乙德投资控股,null
1664,滴滴,滴滴出行
1665,耐克,null
1666,特斯拉,null
1667,北京现代,null
1668,null,腾讯控股
1669,獐子岛,中科宇图
1670,华软科技,润港化工
1671,维维股份,新疆维维天山雪乳业有限公司
1672,苹果,微软
1673,null,好事达保险
1674,众泰汽车,众泰汽车
1675,汇鸿集团,null
1676,百信国际,百信国际
1677,双环传动,null
1678,沃尔沃,null
1679,特斯拉,null
1680,null,戴姆勒
1681,瑞幸咖啡,null
1682,华讯,null
1683,null,宜春市矿业公司
1684,福昕软件,戴尔
1685,獐子岛,健康元股份
1686,null,安居客
1687,智飞生物,智飞龙科马
1688,亿邦,嘉楠科技
1689,喜马拉雅,null
1690,虎牙,斗鱼
1691,null,惠誉
1692,特斯拉,null
1693,金山云,金山云
1694,瑞幸咖啡,null
1695,null,空港区建设公司
1696,沃尔,摩根大通
1697,海工装,null
1698,null,瑞幸咖啡
1699,獐子岛,null
1700,港龙地产,飞笛科技
1701,大众,null
1702,欢瑞联合,著杰控股
1703,苹果,null
1704,源渤科技,null
1705,京东,null
1706,舞钢公司,平顶山分行
1707,null,厦门金嘉亿商贸有限公司
1708,null,瑞幸咖啡
1709,null,谷歌
1710,海普润,碧水源
1711,人保财,中国人民财产保险股份有限公司
1712,华硒时代,湖南华硒时代生物科技有限公司
1713,国美,null
1714,迪士尼,华特迪士尼公司
1715,耐克,null
1716,森工集团,吉林森工
1717,元盛光电,null
1718,北京万科,银泰置业
1719,珑远投资集团,东莞市珑远翠珑湾实业投资有限公司
1720,国美,国美零售
1721,京投发展,北京万科
1722,哈药股份,健安喜公司
1723,银隆新能源,null
1724,三星,null
1725,国家管网公司,中石油天然气销售分公司
1726,永辉超市,永辉超市股份有限公司
1727,巨鹏股份,null
1728,美邦服饰,null
1729,null,德国肖特科技集团
1730,阿尔法企业,null
1731,大北农,null
1732,苹果,null
1733,华恒生物,null
1734,滴滴,null
1735,null,中宁公安
1736,亚尔斯,null
1737,麦佳,null
1738,汇鸿集团,null
1739,瑞幸咖啡,null
1740,晶瑞股份,null
1741,null,友信普惠
1742,迪士尼,null
1743,中物聚,null
1744,瑞幸咖啡,null
1745,爱彼迎,null
1746,null,特斯拉
1747,null,百度
1748,null,北京同牛配
1749,拜腾汽车,一汽华利
1750,永和智控,null
1751,沃尔玛,null
1752,同策咨询,null
1753,苹果,苹果公司
1754,永华光电,null
1755,通化东宝,东宝集团
1756,美邦服饰,林华康
1757,null,城城不动产管理有限公司
1758,天成自控,null
1759,跃势生物,null
1760,null,赫柏绿源公司
1761,瑞幸咖啡,null
1762,保集健康,null
1763,阿里,null
1764,拜腾,拜腾汽车
1765,阿里,null
1766,远景能源,null
1767,中银工信通,null
1768,开尔新材控股,开尔新材
1769,秘鲁矿业,中国铜业
1770,特斯拉,null
1771,钧正公司,null
1772,null,智飞生物
1773,国美通讯,国美电器
1774,格力,而格
1775,广汽,null
1776,广汽三菱,null
1777,宝来集团,锦州腾
1778,红黄蓝,红黄蓝教育
1779,正丹股份,null
1780,拉芳家化,null
1781,华谊嘉信,迪思传媒
1782,null,比高集团
1783,ST雪莱,雪莱特
1784,健帆生物,null
1785,泰国酷鸟航空,酷鸟航空
1786,力帆汽车,力帆股份
1787,恒大,融创
1788,null,洛克希德·马丁公司
1789,长城动漫,北京新娱
1790,国美,null
1791,安达天平,君正化工
1792,null,五河县金源混凝土有限公司
1793,特斯拉,null
1794,null,拜腾汽车
1795,国美,国美
1796,金永明,null
1797,英特尔公司,null
1798,广汽新能源,古惠南
1799,瑞幸咖啡,null
1800,五粮液,五粮液集团
1801,null,青海省投资集团有限公司
1802,魅族,格力
1803,正潭股份,null
1804,中化香港,中化集团
1805,null,中金公司
1806,ST雪莱,null
1807,百杰瑞,null
1808,雷诺,null
1809,川信,宏信证
1810,临沂城资新鸥鹏房地产开发有限公司,山东新鸥鹏文旅产业发展集团有限公司
1811,柳州三元,柳州三元天爱乳业有限公司
1812,瑞幸咖啡,null
1813,太阳能,null
1814,null,日月峡大森林旅游集团有限公司
1815,哈药股份,null
1816,瑞幸咖啡,null
1817,苹果,null
1818,null,大摩
1819,绿之彩,null
1820,微软,null
1821,爱奇艺,null
1822,null,索尼
1823,高德地图,null
1824,null,中汾酒业有限责任公司
1825,null,迪米
1826,惠泰医疗,冠脉
1827,宝洁,宝洁
1828,谷歌,null
1829,null,桂林市
1830,金益全,舞钢公司
1831,特斯拉,null
1832,苹果,亚马逊
1833,null,康得新复合材料集团股份有限公司
1834,电建地产,电建集团
1835,久之洋,派鑫科贸
1836,万通地产,null
1837,null,紫金财产保险股份有限公司
1838,可口可乐,null
1839,null,鸿信行
1840,null,小米
1841,中国生物,中国医药集团有限公司
1842,国美电器,null
1843,瑞幸咖啡,null
1844,瑞幸咖啡,null
1845,国美,国美电器
1846,华强方特,null
1847,西发置业,西发物业
1848,null,苏大叔
1849,铜仁市城市开发投资集团有限公司,null
1850,海默科技,null
1851,安科生物,null
1852,ST德豪,*ST索菱
1853,瑞康医药,null
1854,null,华为公司
1855,爱奇艺,null
1856,null,湖南广播影视集团有限公司
1857,蚂蚁金服,蚂蚁金服集团
1858,世纪金花,世纪金花
1859,null,裕隆集团
1860,富临集团控股,null
1861,瑞幸咖啡,null
1862,海默科技,京东方
1863,中兴通讯,中兴新
1864,蔚来,null
1865,银隆新能源,天眼查
1866,京东,途牛股份
1867,null,泰森食品公司
1868,湖南海利,null
1869,京东,null
1870,null,软银
1871,城城不动产管理有限公司,null
1872,中国中石控股,null
1873,银隆新能源,null
1874,阿里,null
1875,冠亚商业,null
1876,力帆汽车,null
1877,华为,爱立信
1878,华阳经贸,汇丰银行
1879,阿里,阿里巴巴
1880,华为,null
1881,哈投股份,null
1882,null,新乡县盐业公司
1883,上海富控互动娱乐股份有限公司,ST富控
1884,宜宾城市和交通投资集团,宜宾市城市和交通投资集团有限公司
1885,黄爱平,null
1886,步步高,步步高
1887,北京健康宝,null
1888,旅悦集团,携程
1889,null,特斯拉
1890,软银,null
1891,null,海马
1892,北京一中院,广东梦彤
1893,中国移动,中国移动
1894,新亿股份,null
1895,獐子岛,null
1896,尔康制药,null
1897,爱奇艺,古永锵
1898,万盛股份,null
1899,苹果,null
1900,欧宝,东风
1901,环国运,null
1902,null,青岛沙微教育咨询有限公司
1903,南城香,null
1904,郎酒,宝光集团
1905,美邦服饰,null
1906,阿斯顿,null
1907,null,众安在线
1908,合诚股份,null
1909,null,杜洛夫
1910,null,天行教育
1911,null,中广核
1912,爱彼迎,null
1913,天长城投,国本控股
1914,null,江苏赛麟汽车科技有限公司
1915,中南建设,null
1916,哈药股份,哈药集团
1917,绿之彩,null
1918,獐子岛,獐子岛
1919,博克森,null
1920,佳通中国,null
1921,獐子岛,null
1922,瑞达期货,null
1923,聚智未来,null
1924,银隆新能源,null
1925,捷佳伟创,null
1926,递蓝科,null
1927,智飞生物,null
1928,鸿鑫互联,null
1929,索尼,null
1930,null,湖南广播影视集团有限公司
1931,西藏药业,null
1932,天健生物,null
1933,迪士尼,null
1934,开尔新材,null
1935,null,合策科技(北京)有限公司
1936,亿邦,null
1937,国美,国美零售
1938,国美,国美通讯
1939,泛海集团,泛海集团
1940,null,谷歌
1941,华域汽车,null
1942,中亚股份,null
1943,横河模具,null
1944,克莉丝,null
1945,中国恒大,恒大地产
1946,特斯拉,null
1947,博汇纸业,博汇集团
1948,杭叉集团,null
1949,微众信科,蚂蚁金服
1950,獐子岛,獐子岛集团股份有限公司
1951,丰田,null
1952,美邦服饰,null
1953,null,博克森
1954,保德国际发展,null
1955,三星,三星电子
1956,null,湖南广播影视集团有限公司
1957,中兴新,中兴新公司
1958,黎明钢构,null
1959,爱奇艺,百度
1960,领航医药生物科技,领航医药生物科技
1961,健康宝,北京健康宝
1962,马自达,null
1963,国美,国美零售
1964,老花,老花眼
1965,亚马逊,特斯拉
1966,兴业投,保利加
1967,华为,海思
1968,特斯拉,null
1969,光大股份,null
1970,獐子岛,null
1971,通用,null
1972,康得新,null
1973,null,健康元股份
1974,力帆汽车,null
1975,天成自控,null
1976,万盛股份,万盛股份
1977,瑞幸,瑞幸咖啡
1978,耐克,null
1979,null,国美零售
1980,国美,国美电器
1981,金运激光,null
1982,虎牙,null
1983,特斯拉,null
1984,乐视网,null
1985,null,波音
1986,宜人金科,null
1987,阿里巴巴,阿里巴巴
1988,双龙汽,比亚迪汽车
1989,哈药股份,哈药集团
1990,哈药,null
1991,null,迪米
1992,null,飞涛公司
1993,维维股份,null
1994,特斯拉,null
1995,空特斯拉,null
1996,金凰,人保财险
1997,通用汽车,波尔曼
1998,null,虎牙
1999,瑞幸咖啡,null
2000,软银,阿里
2001,东方网力,null
2002,吴联模,鸿凯国际
2003,迪米,null
2004,元枫管道,null
2005,獐子岛,null
2006,特斯拉,摩根士丹利
2007,力帆股份,null
2008,香江控股,null
2009,null,黄蜂食品
2010,科迪速,科迪集团
2011,宝岭铁矿公司,山东能源临矿集团
2012,null,东风
2013,至纯科技,null
2014,null,米有品
2015,中国支付,开联通支付服务有限公司
2016,特斯,戴姆勒
2017,菊乐食品,新乳业
2018,比亚迪,丰田
2019,瑞幸咖啡,那斯达克
2020,瑞幸咖啡,null
2021,众合科技,null
2022,美国航空,华复航
2023,null,莆田之星奔驰
2024,光驰教育,null
2025,宁东富,null
2026,中铁四局四公司,null
2027,null,瑞幸咖啡
2028,大唐地产,null
2029,兰州民百,null
2030,国美,null
2031,力帆股份,重庆嘉利建桥灯具有限公司
2032,红宇新材,华民股份
2033,null,獐子岛
2034,null,中南电商
2035,小米,null
2036,微软,谷歌
2037,可口可乐,null
2038,信托,中融信托
2039,鼎胜新材,null
2040,众泰,未能
2041,特斯拉,null
2042,null,刷脸智付公司
2043,邦讯技术,戴芙蓉
2044,戴姆勒,宝马公司
2045,斗鱼,虎牙
2046,国美,null
2047,null,獐子岛
2048,ST东和,null
2049,英特尔,null
2050,国美,拼多多
2051,null,川信
2052,阿里巴巴,软银集团
2053,协成科技,null
2054,中兴,null
2055,null,华为
2056,null,ST步森
2057,字节跳动,null
2058,ST雪莱,null
2059,獐子岛,null
2060,汇丰,null
2061,华建集团,现代设计集团
2062,赛轮轮胎,null
2063,null,一顿
2064,赛柏蓝,null
2065,尚德机构,null
2066,戴姆勒,宝马集团
2067,null,开曼比特
2068,三菱汽车,广汽三菱
2069,可口可乐,好时
2070,忆江山,null
2071,银亿,null
2072,安徽国控集团,皖能集团
2073,null,众安保险
2074,菜鸟,菜鸟网络
2075,百信国际,null
2076,西王大厦,青岛西王物业管理有限公司
2077,黄河实业,null
2078,null,古尔曼
2079,京投发展,null
2080,虎牙,null
2081,众泰汽车,null
2082,坛金矿业,null
2083,川煤集团,null
2084,拜腾汽车,null
2085,金晶科技,null
2086,null,摩根大通
2087,江特电,null
2088,null,兴隆贸易公司
2089,怡亚通,艾伯资讯
2090,海默科技,null
2091,戈皮纳,null
2092,中保研,null
2093,金力永磁,null
2094,恺英网络,骐飞
2095,支付宝,null
2096,号百控股,null
2097,乐视,null
2098,英斯利,null
2099,陕六建,陕西成旭建设工程有限公司
